wl,n
8.6687,20.456
8.6786,20.487
8.6885,20.519
8.6984,20.550
8.7084,20.581
8.7183,20.613
8.7282,20.644
8.7381,20.675
8.7480,20.707
8.7579,20.738
8.7678,20.769
8.7777,20.801
8.7876,20.832
8.7975,20.863
8.8074,20.894
8.8173,20.926
8.8272,20.957
8.8371,20.988
8.8470,21.020
8.8569,21.051
8.8668,21.082
8.8767,21.114
8.8866,21.145
8.8965,21.176
8.9065,21.207
8.9164,21.239
8.9263,21.270
8.9362,21.301
8.9461,21.332
8.9560,21.364
8.9659,21.395
8.9758,21.426
8.9857,21.457
8.9956,21.489
9.0055,21.520
9.0154,21.551
9.0253,21.582
9.0352,21.613
9.0451,21.645
9.0550,21.676
9.0649,21.707
9.0748,21.738
9.0847,21.769
9.0946,21.801
9.1046,21.832
9.1145,21.863
9.1244,21.894
9.1343,21.925
9.1442,21.956
9.1541,21.988
9.1640,22.019
9.1739,22.050
9.1838,22.081
9.1937,22.112
9.2036,22.143
9.2135,22.174
9.2234,22.205
9.2333,22.237
9.2432,22.268
9.2531,22.299
9.2630,22.330
9.2729,22.361
9.2828,22.392
9.2927,22.423
9.3027,22.454
9.3126,22.485
9.3225,22.516
9.3324,22.547
9.3423,22.578
9.3522,22.609
9.3621,22.641
9.3720,22.672
9.3819,22.703
9.3918,22.734
9.4017,22.765
9.4116,22.796
9.4215,22.827
9.4314,22.858
9.4413,22.889
9.4512,22.920
9.4611,22.951
9.4710,22.982
9.4809,23.012
9.4908,23.043
9.5008,23.074
9.5107,23.105
9.5206,23.136
9.5305,23.167
9.5404,23.198
9.5503,23.229
9.5602,23.260
9.5701,23.291
9.5800,23.322
9.5899,23.353
9.5998,23.384
9.6097,23.415
9.6196,23.445
9.6295,23.476
9.6394,23.507
9.6493,23.538
9.6592,23.569
9.6691,23.600
9.6790,23.631
9.6889,23.661
9.6988,23.692
9.7088,23.723
9.7187,23.754
9.7286,23.785
9.7385,23.815
9.7484,23.846
9.7583,23.877
9.7682,23.908
9.7781,23.939
9.7880,23.969
9.7979,24.000
9.8078,24.031
9.8177,24.062
9.8276,24.092
9.8375,24.123
9.8474,24.154
9.8573,24.185
9.8672,24.215
9.8771,24.246
9.8870,24.277
9.8969,24.307
9.9069,24.338
9.9168,24.369
9.9267,24.399
9.9366,24.430
9.9465,24.461
9.9564,24.491
9.9663,24.522
9.9762,24.553
9.9861,24.583
9.9960,24.614
10.0059,24.644
10.0158,24.675
10.0257,24.706
10.0356,24.736
10.0455,24.767
10.0554,24.797
10.0653,24.828
10.0752,24.859
10.0851,24.889
10.0950,24.920
10.1050,24.950
10.1149,24.981
10.1248,25.011
10.1347,25.042
10.1446,25.072
10.1545,25.103
10.1644,25.133
10.1743,25.164
10.1842,25.194
10.1941,25.225
10.2040,25.255
10.2139,25.286
10.2238,25.316
10.2337,25.346
10.2436,25.377
10.2535,25.407
10.2634,25.438
10.2733,25.468
10.2832,25.499
10.2931,25.529
10.3031,25.559
10.3130,25.590
10.3229,25.620
10.3328,25.650
10.3427,25.681
10.3526,25.711
10.3625,25.742
10.3724,25.772
10.3823,25.802
10.3922,25.832
10.4021,25.863
10.4120,25.893
10.4219,25.923
10.4318,25.954
10.4417,25.984
10.4516,26.014
10.4615,26.044
10.4714,26.075
10.4813,26.105
10.4912,26.135
10.5012,26.165
10.5111,26.196
10.5210,26.226
10.5309,26.256
10.5408,26.286
10.5507,26.316
10.5606,26.347
10.5705,26.377
10.5804,26.407
10.5903,26.437
10.6002,26.467
10.6101,26.497
10.6200,26.527
10.6299,26.558
10.6398,26.588
10.6497,26.618
10.6596,26.648
10.6695,26.678
10.6794,26.708
10.6893,26.738
10.6992,26.768
10.7092,26.798
10.7191,26.828
10.7290,26.858
10.7389,26.888
10.7488,26.918
10.7587,26.948
10.7686,26.978
10.7785,27.008
10.7884,27.038
10.7983,27.068
10.8082,27.098
10.8181,27.128
10.8280,27.158
10.8379,27.188
10.8478,27.218
10.8577,27.248
10.8676,27.278
10.8775,27.308
10.8874,27.338
10.8973,27.368
10.9073,27.398
10.9172,27.427
10.9271,27.457
10.9370,27.487
10.9469,27.517
10.9568,27.547
10.9667,27.577
10.9766,27.606
10.9865,27.636
10.9964,27.666
11.0063,27.696
11.0162,27.726
11.0261,27.755
11.0360,27.785
11.0459,27.815
11.0558,27.845
11.0657,27.874
11.0756,27.904
11.0855,27.934
11.0954,27.964
11.1054,27.993
11.1153,28.023
11.1252,28.053
11.1351,28.082
11.1450,28.112
11.1549,28.142
11.1648,28.171
11.1747,28.201
11.1846,28.231
11.1945,28.260
11.2044,28.290
11.2143,28.319
11.2242,28.349
11.2341,28.379
11.2440,28.408
11.2539,28.438
11.2638,28.467
11.2737,28.497
11.2836,28.526
11.2935,28.556
11.3035,28.586
11.3134,28.615
11.3233,28.645
11.3332,28.674
11.3431,28.704
11.3530,28.733
11.3629,28.762
11.3728,28.792
11.3827,28.821
11.3926,28.851
11.4025,28.880
11.4124,28.910
11.4223,28.939
11.4322,28.969
11.4421,28.998
11.4520,29.027
11.4619,29.057
11.4718,29.086
11.4817,29.115
11.4916,29.145
11.5016,29.174
11.5115,29.203
11.5214,29.233
11.5313,29.262
11.5412,29.291
11.5511,29.321
11.5610,29.350
11.5709,29.379
11.5808,29.409
11.5907,29.438
11.6006,29.467
11.6105,29.496
11.6204,29.526
11.6303,29.555
11.6402,29.584
11.6501,29.613
11.6600,29.642
11.6699,29.672
11.6798,29.701
11.6897,29.730
11.6996,29.759
11.7096,29.788
11.7195,29.817
11.7294,29.846
11.7393,29.876
11.7492,29.905
11.7591,29.934
11.7690,29.963
11.7789,29.992
11.7888,30.021
11.7987,30.050
11.8086,30.079
11.8185,30.108
11.8284,30.137
11.8383,30.166
11.8482,30.195
11.8581,30.224
11.8680,30.253
11.8779,30.282
11.8878,30.311
11.8977,30.340
11.9077,30.369
11.9176,30.398
11.9275,30.427
11.9374,30.456
11.9473,30.485
11.9572,30.514
11.9671,30.543
11.9770,30.572
11.9869,30.601
11.9968,30.629
12.0067,30.658
12.0166,30.687
12.0265,30.716
12.0364,30.745
12.0463,30.774
12.0562,30.802
12.0661,30.831
12.0760,30.860
12.0859,30.889
12.0958,30.918
12.1058,30.946
12.1157,30.975
12.1256,31.004
12.1355,31.033
12.1454,31.061
12.1553,31.090
12.1652,31.119
12.1751,31.147
12.1850,31.176
12.1949,31.205
12.2048,31.234
12.2147,31.262
12.2246,31.291
12.2345,31.320
12.2444,31.348
12.2543,31.377
12.2642,31.405
12.2741,31.434
12.2840,31.463
12.2939,31.491
12.3039,31.520
12.3138,31.548
12.3237,31.577
12.3336,31.605
12.3435,31.634
12.3534,31.663
12.3633,31.691
12.3732,31.720
12.3831,31.748
12.3930,31.777
12.4029,31.805
12.4128,31.833
12.4227,31.862
12.4326,31.890
12.4425,31.919
12.4524,31.947
12.4623,31.976
12.4722,32.004
12.4821,32.033
12.4920,32.061
12.5020,32.089
12.5119,32.118
12.5218,32.146
12.5317,32.174
12.5416,32.203
12.5515,32.231
12.5614,32.259
12.5713,32.288
12.5812,32.316
12.5911,32.344
12.6010,32.373
12.6109,32.401
12.6208,32.429
12.6307,32.457
12.6406,32.486
12.6505,32.514
12.6604,32.542
12.6703,32.570
12.6802,32.599
12.6901,32.627
12.7001,32.655
12.7100,32.683
12.7199,32.711
12.7298,32.739
12.7397,32.768
12.7496,32.796
12.7595,32.824
12.7694,32.852
12.7793,32.880
12.7892,32.908
12.7991,32.936
12.8090,32.964
12.8189,32.993
12.8288,33.021
12.8387,33.049
12.8486,33.077
12.8585,33.105
12.8684,33.133
12.8783,33.161
12.8882,33.189
12.8981,33.217
12.9081,33.245
12.9180,33.273
12.9279,33.301
12.9378,33.329
12.9477,33.357
12.9576,33.385
12.9675,33.412
12.9774,33.440
12.9873,33.468
12.9972,33.496
13.0071,33.524
13.0170,33.552
13.0269,33.580
13.0368,33.608
13.0467,33.636
13.0566,33.663
13.0665,33.691
13.0764,33.719
13.0863,33.747
13.0962,33.775
13.1062,33.802
13.1161,33.830
13.1260,33.858
13.1359,33.886
13.1458,33.914
13.1557,33.941
13.1656,33.969
13.1755,33.997
13.1854,34.024
13.1953,34.052
13.2052,34.080
13.2151,34.108
13.2250,34.135
13.2349,34.163
13.2448,34.191
13.2547,34.218
13.2646,34.246
13.2745,34.273
13.2844,34.301
13.2943,34.329
13.3043,34.356
13.3142,34.384
13.3241,34.411
13.3340,34.439
13.3439,34.467
13.3538,34.494
13.3637,34.522
13.3736,34.549
13.3835,34.577
13.3934,34.604
13.4033,34.632
13.4132,34.659
13.4231,34.687
13.4330,34.714
13.4429,34.742
13.4528,34.769
13.4627,34.797
13.4726,34.824
13.4825,34.851
13.4924,34.879
13.5024,34.906
13.5123,34.934
13.5222,34.961
13.5321,34.988
13.5420,35.016
13.5519,35.043
13.5618,35.070
13.5717,35.098
13.5816,35.125
13.5915,35.152
13.6014,35.180
13.6113,35.207
13.6212,35.234
13.6311,35.262
13.6410,35.289
13.6509,35.316
13.6608,35.343
13.6707,35.371
13.6806,35.398
13.6905,35.425
13.7005,35.452
13.7104,35.479
13.7203,35.507
13.7302,35.534
13.7401,35.561
13.7500,35.588
13.7599,35.615
13.7698,35.643
13.7797,35.670
13.7896,35.697
13.7995,35.724
13.8094,35.751
13.8193,35.778
13.8292,35.805
13.8391,35.832
13.8490,35.859
13.8589,35.886
13.8688,35.913
13.8787,35.940
13.8886,35.967
13.8985,35.994
13.9085,36.022
13.9184,36.049
13.9283,36.075
13.9382,36.102
13.9481,36.129
13.9580,36.156
13.9679,36.183
13.9778,36.210
13.9877,36.237
13.9976,36.264
14.0075,36.291
14.0174,36.318
14.0273,36.345
14.0372,36.372
14.0471,36.399
14.0570,36.425
14.0669,36.452
14.0768,36.479
14.0867,36.506
14.0966,36.533
14.1066,36.560
14.1165,36.586
14.1264,36.613
14.1363,36.640
14.1462,36.667
14.1561,36.694
14.1660,36.720
14.1759,36.747
14.1858,36.774
14.1957,36.801
14.2056,36.827
14.2155,36.854
14.2254,36.881
14.2353,36.907
14.2452,36.934
14.2551,36.961
14.2650,36.987
14.2749,37.014
14.2848,37.041
14.2947,37.067
14.3047,37.094
14.3146,37.121
14.3245,37.147
14.3344,37.174
14.3443,37.200
14.3542,37.227
14.3641,37.254
14.3740,37.280
14.3839,37.307
14.3938,37.333
14.4037,37.360
14.4136,37.386
14.4235,37.413
14.4334,37.439
14.4433,37.466
14.4532,37.492
14.4631,37.519
14.4730,37.545
14.4829,37.572
14.4928,37.598
14.5028,37.624
14.5127,37.651
14.5226,37.677
14.5325,37.704
14.5424,37.730
14.5523,37.757
14.5622,37.783
14.5721,37.809
14.5820,37.836
14.5919,37.862
14.6018,37.888
14.6117,37.915
14.6216,37.941
14.6315,37.967
14.6414,37.994
14.6513,38.020
14.6612,38.046
14.6711,38.072
14.6810,38.099
14.6909,38.125
14.7009,38.151
14.7108,38.177
14.7207,38.204
14.7306,38.230
14.7405,38.256
14.7504,38.282
14.7603,38.309
14.7702,38.335
14.7801,38.361
14.7900,38.387
14.7999,38.413
14.8098,38.439
14.8197,38.465
14.8296,38.492
14.8395,38.518
14.8494,38.544
14.8593,38.570
14.8692,38.596
14.8791,38.622
14.8890,38.648
14.8989,38.674
14.9089,38.700
14.9188,38.726
14.9287,38.752
14.9386,38.778
14.9485,38.804
14.9584,38.830
14.9683,38.856
14.9782,38.882
14.9881,38.908
14.9980,38.934
15.0079,38.960
15.0178,38.986
15.0277,39.012
15.0376,39.038
15.0475,39.064
15.0574,39.090
15.0673,39.116
15.0772,39.142
15.0871,39.168
15.0970,39.193
15.1070,39.219
15.1169,39.245
15.1268,39.271
15.1367,39.297
15.1466,39.323
15.1565,39.348
15.1664,39.374
15.1763,39.400
15.1862,39.426
15.1961,39.452
15.2060,39.477
15.2159,39.503
15.2258,39.529
15.2357,39.555
15.2456,39.580
15.2555,39.606
15.2654,39.632
15.2753,39.658
15.2852,39.683
15.2951,39.709
15.3051,39.735
15.3150,39.760
15.3249,39.786
15.3348,39.812
15.3447,39.837
15.3546,39.863
15.3645,39.889
15.3744,39.914
15.3843,39.940
15.3942,39.965
15.4041,39.991
15.4140,40.017
15.4239,40.042
15.4338,40.068
15.4437,40.093
15.4536,40.119
15.4635,40.144
15.4734,40.170
15.4833,40.195
15.4932,40.221
15.5032,40.246
15.5131,40.272
15.5230,40.297
15.5329,40.323
15.5428,40.348
15.5527,40.374
15.5626,40.399
