wl,n
0.872,4.20123
0.873,4.20128
0.874,4.20131
0.875,4.20132
0.876,4.20131
0.877,4.20128
0.878,4.20123
0.879,4.20117
0.880,4.20109
0.881,4.20099
0.882,4.20087
0.883,4.20074
0.884,4.20058
0.885,4.20042
0.886,4.20023
0.887,4.20003
0.888,4.19982
0.889,4.19959
0.890,4.19934
0.891,4.19908
0.892,4.19880
0.893,4.19851
0.894,4.19821
0.895,4.19789
0.896,4.19756
0.897,4.19721
0.898,4.19685
0.899,4.19648
0.900,4.19610
0.901,4.19570
0.902,4.19529
0.903,4.19487
0.904,4.19444
0.905,4.19399
0.906,4.19353
0.907,4.19306
0.908,4.19259
0.909,4.19210
0.910,4.19159
0.911,4.19108
0.912,4.19056
0.913,4.19003
0.914,4.18949
0.915,4.18894
0.916,4.18838
0.917,4.18781
0.918,4.18723
0.919,4.18664
0.920,4.18604
0.921,4.18544
0.922,4.18482
0.923,4.18420
0.924,4.18357
0.925,4.18293
0.926,4.18228
0.927,4.18163
0.928,4.18097
0.929,4.18030
0.930,4.17962
0.931,4.17894
0.932,4.17825
0.933,4.17755
0.934,4.17685
0.935,4.17614
0.936,4.17542
0.937,4.17470
0.938,4.17397
0.939,4.17324
0.940,4.17250
0.941,4.17175
0.942,4.17100
0.943,4.17024
0.944,4.16948
0.945,4.16871
0.946,4.16794
0.947,4.16716
0.948,4.16638
0.949,4.16560
0.950,4.16481
0.951,4.16401
0.952,4.16321
0.953,4.16241
0.954,4.16160
0.955,4.16079
0.956,4.15997
0.957,4.15915
0.958,4.15833
0.959,4.15750
0.960,4.15667
0.961,4.15583
0.962,4.15500
0.963,4.15415
0.964,4.15331
0.965,4.15246
0.966,4.15161
0.967,4.15076
0.968,4.14990
0.969,4.14905
0.970,4.14818
0.971,4.14732
0.972,4.14645
0.973,4.14559
0.974,4.14471
0.975,4.14384
0.976,4.14297
0.977,4.14209
0.978,4.14121
0.979,4.14033
0.980,4.13944
0.981,4.13856
0.982,4.13767
0.983,4.13678
0.984,4.13589
0.985,4.13500
0.986,4.13411
0.987,4.13321
0.988,4.13231
0.989,4.13142
0.990,4.13052
0.991,4.12962
0.992,4.12872
0.993,4.12781
0.994,4.12691
0.995,4.12600
